Timestamp,Have you ever posted a preprint?,Which most closely describes your current position?,Where do you primarily work?,On what preprint server did you post your most recent preprint?*,How long ago did you post your last preprint?,What discipline does this preprint fall under? Please check all that apply.,Did you choose the license for this preprint?,Why didn't you choose the license for this preprint?,What license was the preprint under?,What license did you choose for this preprint?,What factors were important to you in selecting this license for your preprint? [Preprint server default or recommended license],What factors were important to you in selecting this license for your preprint? [How other preprints have been licensed (on the server or in your field)],What factors were important to you in selecting this license for your preprint? [Journal policies or recommendations],What factors were important to you in selecting this license for your preprint? [Funder policies or recommendations],What factors were important to you in selecting this license for your preprint? [Library or university recommendations/resources],"What factors were important to you in selecting this license for your preprint? [Other recommendations/resources (not journal, funder, or university)]",What factors were important to you in selecting this license for your preprint? [Coauthor wishes],What factors were important to you in selecting this license for your preprint? [Potential reuse of the preprint],"If factors not listed above were important to you, please explain below.","If and when this preprint is published at your chosen journal, what do you expect the license will be?",What factors are important to you in selecting this license for your published paper? [Journal default or recommended license],What factors are important to you in selecting this license for your published paper? [How other papers have been licensed (in the journal or your field)],What factors are important to you in selecting this license for your published paper? [Additional fees for certain licenses],What factors are important to you in selecting this license for your published paper? [Funder policies or recommendations],What factors are important to you in selecting this license for your published paper? [Library or university recommendations/resources],"What factors are important to you in selecting this license for your published paper? [Other recommendations/resources (not journal, funder, or university)]",What factors are important to you in selecting this license for your published paper? [Coauthor wishes],What factors are important to you in selecting this license for your published paper? [Potential reuse of the paper],"If factors not listed above were important to you, please explain below.","If you expect the license of the final version will be different from the license you selected for the preprint, please explain the difference in your choices.","What would you like others to be able to do with your preprint, without having to ask for your permission? Assume, unless noted, that your work would be attributed to you and your co-authors.",Do you have any other comments regarding preprint licensing?
2/16/2018 22:05:08,Yes,Assistant director ,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-SA,Not at all important,Not at all important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 22:20:54,Yes,Faculty member,North America,engrxiv,Within the last month,Engineering,Yes,,,CC BY,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"No creative commons license (default for Nature, Science, etc)",Very important,Not at all important,Very important,Not at all important,Not at all important,Somewhat important,Not at all important,Somewhat important,,What the journal allows without an extra fee. Don't have funding to cover OA fees.,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 22:40:46,Yes,Postdoc,Oceania,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 22:46:35,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,Don't know,Somewhat important,Not at all important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,can't afford open access fees for publication,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 22:56:38,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish), All of the above, *without* attributing the work to me",
2/16/2018 23:01:25,Yes,Faculty member,Europe,bioRxiv,Over 12 months ago,Biology,No,The preprint server offered only one,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to the website of a journal to which I did not submit it, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 23:05:35,Yes,Postdoc,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC,Don't know,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world",
2/17/2018 0:55:33,Yes,Graduate Student,Oceania,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Very important,Not at all important,Don't know,Don't know,Somewhat important,Not at all important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Not at all important,Very important,Very important,Somewhat important,Not at all important,Very important,,At the time of posting to biorxiv I thought NC was a good thing; I've since learnt this prevents some non-commercial uses and have decided to go with CC-BY from now on,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 0:57:55,Yes,Faculty member,North America,bioRxiv,Over 12 months ago,Biology,Yes,,,CC BY,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 1:42:59,Yes,Faculty member,Europe,EarthArXiv,Within the last month,Earth Science,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,I wanted as many people to be able to use the material as possible,"Likely very restrictive, although I’ve never bothered to check",Not at all important,Not at all important,Very important,Not at all important,Not at all important,Very important,Not at all important,Very important,,I’ll be open with the preprint licence. The journal will not. ,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/17/2018 2:52:55,Yes,Postdoc,Oceania,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC-ND,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 3:01:19,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2018 6:45:34,Yes,Faculty member,Europe,arXiv,1-6 months ago,Earth Sciences,Yes,,,Don't know,Somewhat important,Very important,Very important,Very important,Very important,Not at all important,Very important,Very important,,Don't know,Very important,Very important,Very important,Very important,Very important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 7:16:57,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,Don't know,Very important,Not at all important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,I really did not understand the options and thus guessed as to which would be less likely to cause trouble when the paper was accepted at a journal,Don't know,Very important,Not at all important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,"Once again, I am ignorant of the differences--I know I should not be but we're all so busy that.......",see above,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world",
2/17/2018 7:37:41,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2018 7:53:56,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Very important,Not at all important,Not at all important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 7:57:59,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-ND,Don't know,Somewhat important,Don't know,Don't know,Don't know,Somewhat important,Not at all important,Very important,"To be honest, I was very confused by the difference between some of the choices. I haven’t looked recently, but it seems like the explanations and consequences of the different options should be explained better.",Don't know,Somewhat important,Somewhat important,Very important,Somewhat important,Don't know,Somewhat important,Somewhat important,Very important,,"As long as the options are clearly explained, they could be the same, except if there is significant cost at the journal.","Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 8:39:41,Yes,Postdoc,Europe,arXiv,Within the last month,Physics,Yes,,,All rights reserved or standard arXiv license,Somewhat important,Not at all important,Very important,Somewhat important,Don't know,Don't know,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Don't know,Don't know,Don't know,Don't know,Very important,Very important,Targeting an OA-only journal for first submission.,"Targeting an OA-only journal for first submission but if the paper is rejected, I might resubmit in a non-OA journal.","Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",
2/17/2018 8:58:06,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC-ND,Somewhat important,Very important,Very important,Very important,Somewhat important,Not at all important,Somewhat important,Somewhat important,,"No creative commons license (default for Nature, Science, etc)",Very important,Very important,Somewhat important,Somewhat important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world",
2/17/2018 9:06:15,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY,Not at all important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 9:28:35,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC-ND,Somewhat important,Somewhat important,Somewhat important,Don't know,Don't know,Somewhat important,Not at all important,Very important,,CC BY-NC-ND,Somewhat important,Somewhat important,Don't know,Don't know,Don't know,Don't know,Not at all important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/17/2018 9:32:58,Yes,Faculty member,Asia,INA-Rxiv,Within the last month,Earth science,Yes,,,CC BY,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",The world would be far better place if CC BY is mandatory for every scholarly work.
2/17/2018 9:35:16,Yes,Postdoc,North America,bioRxiv,1-6 months ago,"Biology, Computer Science",Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited",
2/17/2018 9:44:34,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,Don't know,Very important,Very important,Very important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Very important,Very important,Not at all important,Not at all important,Very important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/17/2018 9:51:53,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC-ND,Very important,Somewhat important,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,,CC BY-NC,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 9:56:50,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 10:32:35,Yes,Faculty member,North America,arXiv,1-6 months ago,astronomy,No,The preprint server offered only one,All rights reserved or standard arXiv license,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",
2/17/2018 10:38:04,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,All rights reserved or standard arXiv license,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,I heard some journals want to reserve rights so went with that. ,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Somewhat important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",
2/17/2018 10:53:32,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/17/2018 11:59:40,Yes,Faculty member,Asia,bioRxiv,1-6 months ago,Biology,Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Very important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Not at all important,Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,,When submitting a preprint I don’t want to lose my chances with top journals due to their policies. When publishing the paper itself I wish to follow the funder's regulations.,Download my paper for reading,
2/17/2018 12:46:36,Yes,Faculty member,Europe,bioRxiv,Within the last month,Biology,Yes,,,CC BY-ND,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Not at all important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Very important,Very important,Very important,Not at all important,Very important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Text and data mine my paper, regardless of where they live in the world",
2/17/2018 12:54:55,Yes,Faculty member,North America,bioRxiv,Within the last month,"Biology, Chemistry, Computational biophysics",Yes,,,CC BY,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Reproducible Research standards: https://www.computer.org/csdl/mags/cs/2009/01/mcs2009010035-abs.html,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 13:35:31,Yes,Postdoc,Europe,bioRxiv,Within the last month,Biology,Yes,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"I was surprised by the question. Had no relevant existing knowledge nd tried to find the option tht would not interfere with future publiction while aiding ""open science"". I didn't know nor currently remember the meaning of the codes listed above. ",Don't know,Very important,Very important,Don't know,Don't know,Don't know,Somewhat important,Very important,Somewhat important,I don't understand the implications to be honest. Will i now be rejected based on this choice? This survey is almost making me regret posting a preprint. Was I too naive? ,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",It would be good to add a sentence about possible implication for submission when posting a preprint. I'm now getting scared as mentioned above. 
2/17/2018 13:55:45,Yes,Staff scientist,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 14:53:36,Yes,Postdoc,North America,bioRxiv,1-6 months ago,"Biology, Computer Science",Yes,,,CC BY-NC,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,,CC BY-NC,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 18:06:40,Yes,Faculty member,North America,arXiv,6-12 months ago,"Biology, Physics",Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Don't know,Don't know,Not at all important,Don't know,Not at all important,Somewhat important,"Worried that CC licensing would lead to corrupted versions / inappropriate commercial reuse (like books automatically generated from wikipedia articles). Realize CC BY-NC-ND might exclude this, but going through licenses with fine tooth comb seemed like a large time commitment. The default arxiv license is good enough for ensuring the paper is shared by people within my field (my primary concern). Might choose an alternate if it was more clearly just ""arxiv + text mining usage for academics.""","No creative commons license (default for Nature, Science, etc)",Not at all important,Not at all important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,Journal charges extra for open-access; no reason to choose OA option when preprint copy is sufficient. ,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 18:10:58,Yes,Staff scientist,Europe,bioRxiv,Over 12 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Not at all important,Don't know,Don't know,Not at all important,Not at all important,Not at all important,Very important,I assume that since future publications could have commercial value that this is the right license. Should we wish to publish e.g. with Elsevier then they might wish to retain some control on reuse. Preprint can be so similar to the final version that I gauged this not worth the risk. ,CC BY-NC-ND,Don't know,Not at all important,Somewhat important,Very important,Don't know,Not at all important,Very important,Very important,,I would always hope the journal license to be the least restricted. ,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",I would want credit for anything commercial arising. Potentially financial credit. 
2/17/2018 19:25:15,Yes,Faculty member,North America,bioRxiv,1-6 months ago,"Biology, Genomics",Yes,,,CC BY,Don't know,Very important,Don't know,Don't know,Don't know,Very important,Somewhat important,Very important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/17/2018 19:30:39,Yes,Research data professional,Europe,OSF Preprints,Within the last month,Social Sciences,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Somewhat important,Very important,Very important,Very important,Somewhat important,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/17/2018 19:42:33,Yes,Science Policy Analyst,North America,bioRxiv,Over 12 months ago,"Computer Science, Social Sciences",Yes,,,CC0,Not at all important,Not at all important,Somewhat important,Very important,Not at all important,Not at all important,Somewhat important,Very important,,Public domain,Very important,Not at all important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
